,0
0,5.0
1,0.0
2,8.0
3,8.0
4,5.0
5,0.0
6,4.0
7,9.0
8,9.0
9,0.0
10,9.0
11,2.0
12,9.0
13,0.0
14,8.0
15,5.0
16,0.0
17,9.0
18,7.0
19,0.0
20,0.0
21,0.0
22,7.0
23,9.0
24,5.0
25,9.0
26,0.0
27,7.0
28,0.0
29,2.0
30,9.0
31,8.0
32,9.0
33,5.0
34,0.0
35,2.0
36,5.0
37,8.0
38,9.0
39,0.0
40,9.0
41,7.0
42,0.0
43,9.0
44,0.0
45,3.0
46,0.0
47,7.0
48,7.0
49,0.0
50,0.0
51,5.0
52,0.0
53,2.0
54,9.0
55,2.0
56,8.0
57,7.0
58,0.0
59,7.0
60,2.0
61,5.0
62,8.0
63,0.0
64,4.0
65,9.0
66,2.0
67,4.0
68,4.0
69,0.0
70,7.0
71,9.0
72,0.0
73,5.0
74,9.0
75,2.0
76,4.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,7.0
83,0.0
84,5.0
85,9.0
86,0.0
87,0.0
88,2.0
89,0.0
90,8.0
91,4.0
92,7.0
93,5.0
94,7.0
95,5.0
96,0.0
97,8.0
98,8.0
99,9.0
100,0.0
101,7.0
102,7.0
103,0.0
104,1.0
105,7.0
106,0.0
107,0.0
108,0.0
109,0.0
110,7.0
111,7.0
112,7.0
113,4.0
114,7.0
115,0.0
116,0.0
117,9.0
118,0.0
119,3.0
120,2.0
121,0.0
122,9.0
123,7.0
124,9.0
125,7.0
126,9.0
127,0.0
128,2.0
129,9.0
130,5.0
131,3.0
132,7.0
133,0.0
134,5.0
135,0.0
136,1.0
137,7.0
138,4.0
139,9.0
140,5.0
141,3.0
142,0.0
143,9.0
144,3.0
145,1.0
146,9.0
147,9.0
148,7.0
149,8.0
150,0.0
151,7.0
152,4.0
153,8.0
154,0.0
155,5.0
156,0.0
157,9.0
158,0.0
159,0.0
160,0.0
161,0.0
162,5.0
163,0.0
164,8.0
165,3.0
166,8.0
167,0.0
168,9.0
169,0.0
170,4.0
171,8.0
172,0.0
173,0.0
174,0.0
175,5.0
176,4.0
177,2.0
178,3.0
179,2.0
180,5.0
181,0.0
182,2.0
183,0.0
184,2.0
185,7.0
186,7.0
187,1.0
188,0.0
